Meal_Id,Name,catagory,description,Veg_Non,Nutrient,Disease,Diet,Price
meal_id224,eggless vanilla cake,cake,"maida, baking powder, castor sugar, butter, milk, vanilla essence, vinegar",veg,potassium, goitre, low_fat_diet high_fiber_diet ketogenic_diet,36.12
meal_id225,sweet potato pie,pie,"yams (red skinned), condensed milk, sugar, egg , cinnamon , marshmallows ,",veg,vitamin_a, hypertension scurvy goitre kidney_disease pregnancy, alkaline_diet low_fat_diet paleo_diet Mediterranean_diet low_sodium_diet gluten_free_diet high_fiber_diet high_protien_diet dash_diet,38.08
meal_id226,wok tossed asparagus in mild garlic sauce,sauce,"asparagus, 1 fried onion (medium), 1/2 tsp breakfast sugar, 10 ml potato starch, 20 ml stock vegetarian, 20 gm porcini, salt to taste, 50 ml oil",veg,chloride, hypertension cancer scurvy heart_disease kidney_disease pregnancy diabeties, alkaline_diet dash_diet low_fat_diet type_a_diet,34.44
meal_id227,cinnamon oatmeal pancakes,pancakes,"rolled oats, buttermilk (divided), whole wheat flour or oat flour, baking powder, baking soda, cinnamon, salt, eggs, canola oil , honey or maple syrup,",veg,selenium, hypertension cancer rickets goitre obesity diabeties, high_protien_diet vegan_diet low_fat_diet ketogenic_diet,12.040000000000001
meal_id228,chocolate chip cheesecake,chocolate,"butter biscuits (broken into pieces), butter (softened), cream cheese (softened), sugar, egg, rose essence or vanilla essence, chocolate chips",veg,calcium, hypertension heart_disease, low_fat_diet ketogenic_diet vegan_diet high_fiber_diet high_protien_diet,25.2
meal_id229,chocolate lava cake,cake,"dark chocolate, butter, icing sugar, egg yolks +  whole eggs, flour",veg,vitamin_a, hypertension heart_disease, high_fiber_diet ketogenic_diet,15.68
meal_id230,eggless coffee cupcakes,coffee,"maida/ flour, baking powder, sugar, cocoa powder, vanilla essence, butter (softened, salted. in case you are using unsalted butter, add 1/4 tsp salt), milk (to make the batter smooth. adjust the milk quantity according to your batter's smoothness), coffee powder + 1 tsp water, to make a paste (you can increase or decrease according to your coffee tolerance)",veg,vitamin_d, pregnancy anemia, ketogenic_diet hormone_diet,12.32
meal_id231,chicken in white wine,wine,"black pepper, plain flour, olive or sunflower oil, rashers lean bacon, onions or shallots  (cut in half), mushrooms, butter, boneless and skinless chicken breasts (chopped into 3cm pieces), dry white wine, chicken or vegetable stock, garlic cloves, bay leaves, fresh thyme sprigs (washed or 1/2 tsp dried thyme)",non-veg,iron, anemia pregnancy scurvy rickets goitre kidney_disease obesity, low_fat_diet omni_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,31.080000000000002
meal_id53,chocolate appo,chocolate,"rice, coconut, baking powder, vanilla extract, cinnamon powder, brown sugar, unsweetened cocoa powder, salt, chocolate chips, butter",veg,magnesium, hypertension heart_disease, high_protien_diet high_fiber_diet ketogenic_diet,34.160000000000004
meal_id163,red rice vermicelli kheer,kheer,"red rice vermicelli / broken sooji / semolina vermicelli, butter, almonds, whole milk, cardamom powder, saffron strands / thread, sugar",veg,carbohydrates, anemia pregnancy cancer scurvy kidney_disease obesity diabeties, alkaline_diet ketogenic_diet vegan_diet high_protien_diet dash_diet,18.2
meal_id16,almond and raw banana galawat,banana,"almond slivers, raw banana (boiled), almond paste, cooking cream, refined oil, mace powder, cardamom powder , ginger garlic paste, garam masala powder, red chilli powder, salt, tempura batter",veg,selenium, anemia hypertension cancer scurvy heart_disease kidney_disease diabeties, alkaline_diet low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet,28.560000000000002
meal_id200,chocolate kaju katli,kaju,"cashew nuts, sugar, water, milk chocolate or dark chocolate",veg,vitamin_d, hypertension heart_disease, high_fiber_diet ketogenic_diet,18.76
